ID;X;Y;h;CAP;PF;EA
1;517282;6908678;31.1;161.8;20;20
2;517204.9;6908698;32.8;151.3;10;20
3;517258;6908701;28.8;138.5;20;20
4;517579.9;6908718;29.5;162.3;100;30
5;517414.9;6908723;34.1;173;30;30
6;517524.9;6908743;32.9;146.8;30;30
7;517324.9;6908768;29.2;146.8;20;20
8;517557;6908792;35.2;159.3;100;30
9;517194.9;6908793;31.9;137.8;10;10
10;517455;6908786;33.1;139.3;100;50
12;517419;6908850;31;155;55;55
14;517244.9;6908863;29.6;136.8;10;10
15;517269.9;6908873;30.1;146.8;10;10
16;517549.9;6908888;34.5;148.3;100;40
17;517654.9;6908908;30.3;143.8;15;15
18;517295;6908917;24;132.8;10;10
19;517974;6908947;30.1;142.5;30;30
20;517499.9;6908963;34;155;100;35
21;517428;6908974;30.8;189.8;100;40
22;517159.9;6908983;31.7;151.8;20;20
23;517539.9;6909003;36;156.8;100;30
24;518028;6909004;31.5;140.8;15;15
25;517469;6909007;35.4;156.5;100;30
26;517259.9;6909038;32.9;166;100;40
27;517995;6909045;26.7;129.8;30;30
28;518044.9;6909053;34.7;147.3;50;50
29;517783;6909021;31.2;140.5;10;10
30;518124.9;6909123;31.3;139;40;40
31;517485;6909125;35.5;145.5;100;40
32;517949.9;6909133;34;146.3;100;30
33;517299;6909118;31.4;188.3;60;30
34;518021;6909140;25.5;148.5;10;10
35;518206;6909174;33.1;150.8;100;30
36;517578;6909156;28.5;142.8;30;30
37;517904;6909139;36.5;145.3;100;35
38;517909.9;6909208;34.2;139.3;100;30
39;516903;6909217;35.5;169;90;50
40;518024;6909218;29;149;15;15
41;516914.9;6909228;32.6;149.6;30;30
42;517815;6909235;33.5;146.8;100;40
43;518264;6909228;34.1;142.8;100;30
44;517399.9;6909243;32.4;146;20;20
45;518034;6909159;29.1;127.8;40;40
46;516900;6909240;35.9;147.8;100;60
47;517809;6909249;33.7;136.5;100;40
48;516919.9;6909273;33.4;144.8;40;20
49;517804;6909264;32.1;146;100;40
51;517453;6909288;28.1;125.5;15;15
52;517501;6909283;30.5;123.8;35;20
53;517314;6909301;25.6;138;30;30
54;518404.9;6909313;30;148.5;100;30
56;517339;6909320;27.9;135.5;40;30
57;517729.9;6909343;36.2;171.5;100;40
58;517939.9;6909343;32.8;143;20;20
59;517319.9;6909358;28.8;137.8;100;40
60;518164.9;6909358;30.4;150.3;10;10
61;517021;6909358;32.5;176.5;100;50
62;517459;6909366;28.1;139.8;70;70
63;518229.9;6909368;31.5;147;30;20
64;517699.9;6909398;34.4;159.8;100;60
65;517219.9;6909403;30.6;152.3;70;30
66;517281;6909418;30.1;162.3;60;20
67;517631;6909428;33.1;154;50;50
68;518359;6909426;30;146.8;40;20
69;518504.9;6909453;24.4;140;10;10
70;517894.9;6909458;28.9;137.5;55;55
71;518614;6909458;30;170.3;60;20
72;517361;6909449;30.4;148.5;60;45
73;517605;6909320;27.2;160;10;10
74;518304.9;6909478;28.9;135.3;15;15
75;518124.9;6909483;32.2;130;30;30
76;517994.9;6909493;28;134.5;50;30
79;518709.9;6909508;30.8;151.3;60;20
80;517979.9;6909523;30;133.8;70;30
81;517918;6909505;28.9;175;100;40
82;518034.9;6909583;32.4;136.8;100;30
83;518196;6909570;28;130;20;20
84;518411;6909604;28.4;135.3;15;10
86;517924.9;6909603;28.8;154.5;100;40
87;518034.9;6909608;31.6;137.8;60;30
88;518459.9;6909608;31.6;132;70;30
89;517879.9;6909613;31.5;148.5;10;60
90;518164.9;6909623;31.5;137.3;100;40
91;518681;6909610;29.8;126.5;20;20
92;517949.9;6909628;28.5;160;100;40
93;518697;6909640;30.5;142.3;70;30
94;518549.9;6909648;29.8;139.5;100;40
95;518334.9;6909663;26.7;152.8;90;38
97;517919.9;6909738;31;140.3;80;40
98;518065;6909719;27.9;127.5;100;40
99;517959.9;6909798;29.4;119;100;50
106;517549.9;6909083;32;135.5;20;20
110;517007;6909279;30.8;153.3;60;20
114;517260;6909355;25.6;152;20;20
115;518392;6909409;29.1;134.8;90;60
116;518289.9;6909358;29.5;126.3;30;30
120;518289.9;6909423;32.5;140.5;30;30
122;517049.9;6909438;30.7;148.8;70;60
123;518509.9;6909483;30;173.3;100;30
130;518389.9;6909483;33.3;153.8;60;30
131;517636;6909492;29.2;146.8;100;40
132;517813;6909341;33.5;150.5;100;30
